,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
16256,-17.82,122.682,398.0,2.1,1.4,2019-10-14,600,Aqua,MODIS,100,6.0NRT,321.9,655.0,D
16257,-15.16,127.46600000000001,310.4,1.2,1.1,2019-11-18,1415,Terra,MODIS,76,6.0NRT,295.6,7.3,N
16258,-28.1,129.162,371.4,2.6,1.6,2019-12-20,205,Terra,MODIS,100,6.0NRT,309.2,427.2,D
16259,-11.620999999999999,142.092,354.7,2.5,1.5,2019-10-03,440,Aqua,MODIS,97,6.0NRT,303.8,220.6,D
16260,-37.056,147.284,363.7,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,309.6,85.9,D
16261,-31.883000000000003,121.43700000000001,340.2,2.9,1.6,2020-01-08,240,Terra,MODIS,83,6.0NRT,310.6,102.5,D
16262,-12.457,134.83100000000002,328.6,2.2,1.4,2019-10-07,415,Aqua,MODIS,53,6.0NRT,308.8,30.2,D
16263,-21.693,119.38799999999999,342.6,1.5,1.2,2019-12-29,200,Terra,MODIS,84,6.0NRT,317.1,41.2,D
16264,-29.649,152.30100000000002,356.2,1.3,1.1,2019-11-10,400,Aqua,MODIS,98,6.0NRT,300.8,86.2,D
16265,-11.97,134.717,319.0,1.0,1.0,2019-12-19,120,Terra,MODIS,54,6.0NRT,292.1,6.3,D
16266,-32.504,123.39399999999999,335.9,1.3,1.1,2020-01-02,135,Terra,MODIS,43,6.0NRT,304.9,35.1,D
16267,-32.249,146.161,343.2,1.8,1.3,2020-01-10,45,Terra,MODIS,86,6.0NRT,312.1,66.5,D
16268,-16.26,141.97299999999998,358.2,1.0,1.0,2019-12-01,420,Aqua,MODIS,98,6.0NRT,307.3,68.5,D
16269,-33.951,150.196,340.4,1.3,1.1,2019-12-04,1235,Terra,MODIS,100,6.0NRT,294.1,67.3,N
16270,-37.43,147.601,311.5,1.0,1.0,2019-11-24,1510,Aqua,MODIS,59,6.0NRT,286.8,12.5,N
16271,-31.0,152.032,363.5,1.8,1.3,2019-11-08,410,Aqua,MODIS,100,6.0NRT,310.3,193.8,D
16272,-25.791999999999998,129.842,320.6,1.7,1.3,2019-12-24,1700,Aqua,MODIS,100,6.0NRT,301.2,28.8,N
16273,-14.692,128.111,324.8,3.3,1.7,2019-12-09,220,Terra,MODIS,19,6.0NRT,300.6,40.7,D
16274,-23.233,150.626,304.6,1.1,1.1,2019-10-28,1525,Aqua,MODIS,61,6.0NRT,289.5,7.9,N
16275,-15.543,126.91,310.8,1.3,1.1,2019-10-19,1710,Aqua,MODIS,79,6.0NRT,296.0,10.9,N
16276,-24.879,149.405,306.1,1.0,1.0,2019-12-27,1240,Terra,MODIS,67,6.0NRT,294.1,5.7,N
16277,-13.209000000000001,130.26,327.9,2.0,1.4,2019-11-18,200,Terra,MODIS,36,6.0NRT,301.6,38.9,D
16278,-30.142,151.898,319.3,4.1,1.9,2019-12-15,2315,Terra,MODIS,51,6.0NRT,301.8,46.4,D
16279,-35.07,150.481,320.3,1.1,1.1,2019-12-27,1240,Terra,MODIS,100,6.0NRT,292.4,19.6,N
16280,-30.116999999999997,152.434,322.6,2.6,1.6,2019-11-18,310,Aqua,MODIS,26,6.0NRT,293.1,60.0,D
16281,-37.536,149.19299999999998,322.5,1.0,1.0,2020-01-01,1255,Terra,MODIS,78,6.0NRT,287.0,20.5,N
16282,-31.395,151.799,339.1,3.9,1.8,2019-12-10,1155,Terra,MODIS,100,6.0NRT,292.0,278.6,N
16283,-32.579,119.789,356.8,1.0,1.0,2019-12-04,210,Terra,MODIS,97,6.0NRT,316.9,53.1,D
16284,-15.533,134.285,332.7,2.7,1.6,2019-10-13,515,Aqua,MODIS,49,6.0NRT,317.8,38.7,D
16285,-16.47,137.716,337.3,1.0,1.0,2019-12-24,425,Aqua,MODIS,75,6.0NRT,306.9,22.1,D
16286,-15.422,143.92700000000002,323.3,2.1,1.4,2019-11-19,105,Terra,MODIS,47,6.0NRT,289.9,25.9,D
16287,-37.067,147.27200000000002,302.4,2.5,1.5,2020-01-02,1340,Terra,MODIS,46,6.0NRT,283.9,26.3,N
16288,-17.429000000000002,124.016,367.1,1.6,1.2,2019-11-17,545,Aqua,MODIS,66,6.0NRT,328.4,133.6,D
16289,-21.004,119.01100000000001,319.9,2.1,1.4,2019-11-17,1510,Terra,MODIS,99,6.0NRT,297.7,47.1,N
16290,-32.705999999999996,150.136,349.4,1.1,1.0,2019-12-27,1240,Terra,MODIS,100,6.0NRT,302.2,68.9,N
16291,-27.289,128.753,342.9,1.0,1.0,2019-11-05,520,Aqua,MODIS,84,6.0NRT,312.1,30.4,D
16292,-23.66,132.162,357.2,2.3,1.5,2019-12-22,155,Terra,MODIS,98,6.0NRT,315.9,191.6,D
16293,-19.085,146.042,315.4,3.3,1.7,2020-01-03,325,Aqua,MODIS,40,6.0NRT,280.7,62.3,D
16294,-14.935,126.84100000000001,338.1,1.2,1.1,2019-11-18,205,Terra,MODIS,34,6.0NRT,322.2,19.8,D
16295,-32.747,121.95100000000001,306.6,1.1,1.1,2020-01-07,1715,Aqua,MODIS,29,6.0NRT,295.6,6.1,N
16296,-12.35,133.576,339.1,1.0,1.0,2019-11-11,445,Aqua,MODIS,56,6.0NRT,320.6,17.5,D
16297,-33.364000000000004,150.093,333.1,1.6,1.2,2019-12-16,330,Aqua,MODIS,59,6.0NRT,311.9,35.1,D
16298,-33.217,150.116,340.6,1.0,1.0,2019-12-28,355,Aqua,MODIS,82,6.0NRT,312.5,26.8,D
16299,-12.192,142.364,323.9,3.0,1.6,2019-11-14,340,Aqua,MODIS,49,6.0NRT,302.2,35.3,D
16300,-37.695,149.139,331.4,2.0,1.4,2020-01-04,1325,Terra,MODIS,93,6.0NRT,286.4,82.3,N
